Delta,Theta1,Theta2,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Alpha_Ratio,Theta_Ratio,Shannon_Entropy,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Spatial_Complexity
5.7413594085853066e-08,5.699477762623117e-09,3.178195875683597e-09,1.8446366307389757e-09,2.652826096123773e-09,6.458224067451736e-10,2.384248120361577e-10,9.030117790719032e-11,3.33656320166384e-11,0.06264081167917178,0.12364853614122893,7.215932134738007,7.209271845240505e-10,0.06143849332273287,0.8931442691371616,0.0
9.577620378239441e-08,6.921702199627654e-09,2.961511087732265e-09,1.6350692564349415e-09,2.2315209148456715e-09,5.434599530120162e-10,2.0113135024236953e-10,8.153168108972844e-11,2.934412595023845e-11,0.035029022442221135,0.08953607305361967,7.3600684556172284,1.0091953130169026e-09,0.04282584678502015,0.6739155807046282,0.0
7.005905017250127e-08,6.314449486898308e-09,4.04790711785491e-09,2.790722459645933e-09,2.1894732940567446e-09,5.927557119718902e-10,2.1140097879176244e-10,8.393022251048069e-11,2.8262620210298707e-11,0.05769527588778768,0.12004729386678813,7.256713612554634,8.422089884519061e-10,0.048819080077265375,0.6579339087529342,0.0
5.7197953484342864e-08,5.3983027648457086e-09,2.660280066960002e-09,1.680132536289718e-09,1.9847171316488075e-09,6.265896049038169e-10,2.433651260477081e-10,8.13263564951506e-11,2.99941613184379e-11,0.05242714906921323,0.11528126981735923,7.458408316310214,1.035641861007008e-09,0.051990737606690846,0.9161656692313714,0.0
8.744654029302034e-08,7.210382093142768e-09,2.655132466757612e-09,2.333145992938108e-09,1.893361803088815e-09,6.199731045117189e-10,2.297055501033081e-10,9.25688719789976e-11,2.6577436065829628e-11,0.04123084846520731,0.09624104709635743,7.33967308038652,9.433227486084945e-10,0.04963751761031941,0.769072805836145,0.0
7.520610685401314e-08,6.342245357705693e-09,2.2496238759174065e-09,1.970927406444017e-09,2.051701343819767e-09,5.507495044162583e-10,2.2056357284922457e-10,7.761449809361988e-11,2.9285421406874255e-11,0.04535103733540752,0.09686456458837497,7.30902606941801,8.382995725763507e-10,0.04656197753205431,0.6599824336427814,0.0
8.37131679795249e-08,7.2477319516751065e-09,2.0630181752146604e-09,2.611291632321456e-09,2.399331764422207e-09,6.298359322641119e-10,2.3930054333909065e-10,8.890037332132135e-11,3.109350192810824e-11,0.05059974754706253,0.09402454916100424,7.534716717609616,1.1623420985984353e-09,0.04124203006283547,0.62994589074347,0.0
8.187029609817715e-08,5.721671236194919e-09,2.080231191714074e-09,1.9114344546954887e-09,1.8158060809953056e-09,5.049807984033461e-10,2.3139164280927863e-10,8.820739492355625e-11,2.8522604378543474e-11,0.03954483275941596,0.08277569525299269,7.368793372756349,9.804974173032373e-10,0.04385005948972453,0.6823193909173632,0.0
8.742562275107895e-08,5.691724639960823e-09,2.705025353881485e-09,1.7998579704252317e-09,1.587171224001981e-09,4.953485414304767e-10,1.96368119570074e-10,7.947624564343233e-11,2.776853179442314e-11,0.03386712083780254,0.08395963848028368,7.257271477492192,9.262300103419078e-10,0.04378739482540921,0.6848872130986263,0.0
1.0605551804678666e-07,6.135672481335152e-09,2.701592873510016e-09,2.0048918190561227e-09,1.2660373015882896e-09,5.450480403177244e-10,2.0404599992842903e-10,8.560268106219969e-11,2.751943657761326e-11,0.027480580713241293,0.07424593285601634,7.308051390694471,1.3535768018110297e-09,0.036611286856936646,0.6516101762371577,0.0
7.635564649526873e-08,5.533162202505456e-09,2.422180819586411e-09,1.6423644847547535e-09,1.938880189800115e-09,6.007952468546843e-10,2.4412590283384385e-10,9.27742364916138e-11,2.829203754441071e-11,0.04030245380772656,0.08952748940906385,7.411075338941762,9.163891247177859e-10,0.047483605555510365,0.7145450624669707,0.0
7.957581522212981e-08,5.632390551533428e-09,2.8572106871238954e-09,2.194692894400618e-09,1.7636389069090815e-09,5.43243523654816e-10,2.399001583304332e-10,9.674112402193124e-11,3.183915790639852e-11,0.04259180175984633,0.09134843442315764,7.374232795941225,8.612721468583596e-10,0.05046801722800381,0.7499095400663461,0.0
7.779143526267496e-08,6.118408128789555e-09,2.4917746101163397e-09,2.131012426398269e-09,2.5265308461708414e-09,6.152291213088139e-10,2.2535854061915024e-10,9.947069692662102e-11,3.2372954143782505e-11,0.05060754175928216,0.09355579905838969,7.269057152035076,9.474198576823082e-10,0.045710019057519466,0.6346464390958472,0.0
8.131126915367535e-08,6.007202553091026e-09,3.163982198887691e-09,2.8708387841123577e-09,3.097573288906379e-09,6.836187355713932e-10,2.331415402265277e-10,1.0608946991394016e-10,2.8617656377214888e-11,0.061212390039132224,0.09406021757393844,7.384043527380104,1.1287689966894736e-09,0.051607665721296374,0.8706949841602067,0.0
7.255141574923476e-08,5.33101001530166e-09,2.061090311662482e-09,3.5553137180622945e-09,2.7695877991435288e-09,6.885642400770776e-10,2.5703046135333885e-10,1.1318494384588068e-10,3.8632663575222315e-11,0.07239476955134987,0.08460991814896149,7.297119742634493,8.166712138801405e-10,0.061131602518393086,0.8430894536650665,0.0
6.967014380796037e-08,7.51912372710009e-09,2.2532088443098928e-09,2.679154210587141e-09,2.7018712955578498e-09,6.84665365645594e-10,2.5005193250147616e-10,1.2892767358459603e-10,4.516697774003331e-11,0.06261861978787264,0.11371995487309203,7.2492235613590985,6.449249795813761e-10,0.05951529344984187,0.6205605482193185,0.0
7.704867244597258e-08,4.970747005056499e-09,3.217238414553959e-09,2.344868467528323e-09,3.6262221705206633e-09,7.433750513639697e-10,3.024169928571985e-10,1.401612046928909e-10,6.616803429068296e-11,0.06457965030844932,0.08855622317297455,7.357402890765726,1.138373330603649e-09,0.050476033186540786,0.6814819391369307,0.0
9.072767598701147e-08,5.46322091153803e-09,2.6085059562780486e-09,2.3841076953269524e-09,1.4941370826696822e-09,6.554477581845582e-10,2.6554062748473454e-10,1.2860565558973848e-10,5.743046540102931e-11,0.037367824460243525,0.0777730365032272,7.316608422023022,1.1303377531382494e-09,0.04666557480533039,0.6798791912541082,0.0
5.648032053685315e-08,6.500608023290775e-09,2.7557713252239996e-09,2.0876054535145545e-09,2.068657216411873e-09,6.988138998555435e-10,2.5979020186782015e-10,1.4633502957219423e-10,6.048309577175594e-11,0.05848998950182431,0.1302625877899859,7.3533488020549935,6.846691654411926e-10,0.059145026931229604,0.6151521009249644,0.0
8.327625885457077e-08,6.9843998639321956e-09,2.2502690345024458e-09,2.425373568728169e-09,2.0814040294009622e-09,6.232269395629556e-10,2.8979254552662516e-10,1.5775877302011022e-10,7.015713875067078e-11,0.04591273525235666,0.09407806332689005,7.256599692317334,8.477787442415127e-10,0.05453018596545205,0.6067107957243448,0.0
1.0593007361533758e-07,6.240936109785197e-09,2.4880168919051957e-09,2.2556080662889556e-09,1.9222449888174852e-09,5.856017012042206e-10,2.821552472154285e-10,1.567824456153939e-10,6.717025719440338e-11,0.034835882276239384,0.07278398142559032,7.365383934893522,1.216810730928838e-09,0.0451959496143675,0.6085587647856113,0.0
1.0446061470714955e-07,7.077935229906936e-09,2.043512342538225e-09,2.7180753810710416e-09,1.5232945708228796e-09,6.052146631081296e-10,2.5539793448960715e-10,1.8685129112370882e-10,6.229658985827026e-11,0.03566148518982523,0.07669323148037804,7.199810637759526,1.2648198487419494e-09,0.04569857434237178,0.6310127809048349,0.0
5.34150901416383e-08,5.816102340332208e-09,2.816169505664106e-09,2.2585140954512453e-09,1.5369880626179343e-09,6.604164337528869e-10,2.682011819139245e-10,1.7110547682500052e-10,7.1005200630877e-11,0.05663695054974573,0.1288118233931839,7.387578680831264,6.419460396820679e-10,0.06337522222325305,0.6284724973991981,0.0
9.49384368726644e-08,7.3673221888069146e-09,3.2606600944732025e-09,2.2565727488957638e-09,1.4994163610905958e-09,7.391442281423467e-10,2.807559668363594e-10,1.717321110977089e-10,6.741866723316138e-11,0.03396550534167843,0.09610911492108282,7.158397946009852,1.5115485843415252e-09,0.042168955565169024,0.6133704612378494,0.0
7.188067427277811e-08,6.005888777811639e-09,2.8540137346601276e-09,1.9208529813866865e-09,1.370915809573748e-09,6.043219822224455e-10,2.984830579270378e-10,1.8528254449714902e-10,8.65486488685728e-11,0.03863216474615194,0.10397972495412992,7.097011471370343,9.381267686129567e-10,0.054269950893416685,0.6452629562167019,0.0
7.926831787008694e-08,7.421384306114737e-09,2.4779859213783406e-09,1.9934141348772666e-09,1.4686947795132596e-09,6.133790379559589e-10,2.6505833566604654e-10,1.488522576273095e-10,7.708489410610184e-11,0.03693500377296362,0.10560998678656157,7.286463155379028,1.0047146130463755e-09,0.05000048945696853,0.64242015605329,0.0
1.1188197829077336e-07,6.813630751730085e-09,2.5751815781400503e-09,1.7062091180308151e-09,1.437501070204839e-09,6.058333507199101e-10,2.355911519693692e-10,1.8508377019453723e-10,7.556061556558183e-11,0.02504597719519551,0.07480078169542477,7.3792011531289905,1.144562966768762e-09,0.04710644121013743,0.6138672740556318,0.0
6.601890312140298e-08,6.717953594616688e-09,2.471126311446234e-09,1.6916616229133641e-09,1.1225393082139046e-09,6.020710421408817e-10,2.7036383926250436e-10,1.4720052215924894e-10,7.703234602878783e-11,0.03556883475346747,0.11614126805943385,7.337079640640038,8.076406448072078e-10,0.05554744937186934,0.6536896414582659,0.0
8.927160879337254e-08,7.300284652011725e-09,3.3697520735887642e-09,2.388380676248251e-09,1.6232994472353988e-09,5.106850382649382e-10,2.433920196426957e-10,1.456992839218878e-10,7.952718798115229e-11,0.03823064307532677,0.1016836719530944,7.2749320559566915,9.967747692764997e-10,0.049781376151532906,0.627486396570023,0.0
7.769356926185519e-08,7.964719979623935e-09,2.6854248134049287e-09,2.202326368913741e-09,1.498563822679684e-09,5.805083652012905e-10,2.807435544318001e-10,1.6510805197938599e-10,7.871411762137975e-11,0.03973014751707512,0.11433244484432166,7.407922047780885,8.255205348108757e-10,0.06119337618182829,0.7853142419135376,0.0
9.357410237619221e-08,4.862018246438997e-09,2.548608387202636e-09,1.972057102717577e-09,9.71997978063463e-10,5.390143735891548e-10,2.554601165048564e-10,1.5154839589520727e-10,8.359290382333503e-11,0.028049465642286317,0.07060469707414503,7.190600202965942,9.87934235016492e-10,0.050392933339490895,0.6577176357973996,0.0
7.387207450474882e-08,6.528906716691738e-09,2.12112148366617e-09,2.0434324108072555e-09,1.5256243482644784e-09,6.544792017154163e-10,2.8145465172946584e-10,1.7108599680417097e-10,7.559394982250904e-11,0.04089448331495935,0.09911258290144627,7.318382256030517,9.215437567469578e-10,0.0533954158491384,0.6204085818478375,0.0
1.0546778384626827e-07,4.648887188962297e-09,2.947966427063984e-09,1.922495949389783e-09,7.010181597132061e-10,5.969315979180454e-10,2.7003595184182287e-10,1.6051238574731358e-10,6.296812703165098e-11,0.022465517242110763,0.06505291711771395,7.3824409662000114,1.0313172653474477e-09,0.0476567346387295,0.6211175822304826,0.0
8.912024601692083e-08,6.684215354796052e-09,2.2643576817643517e-09,1.823802840727209e-09,1.0025534938251372e-09,5.643383827051735e-10,2.8493872332613826e-10,1.7199528898271124e-10,7.773257972625571e-11,0.027710685196100777,0.08773525381035015,6.995006268585232,9.009084313290453e-10,0.05353568978014166,0.6412860014535882,0.0
7.249475582460711e-08,6.298421691514082e-09,2.48617302048665e-09,1.7414891272366419e-09,1.0051602518890174e-09,5.733758397228941e-10,2.793949842109831e-10,1.4966182286525644e-10,6.824247188832689e-11,0.03227643267591827,0.10322955014279145,6.586779427485295,9.80230495757075e-10,0.04901248796093932,0.6294266227825742,0.0
7.502334219290649e-08,5.385810933372582e-09,2.5705831398896458e-09,1.3900214947104436e-09,8.861620487164143e-10,4.994661174130459e-10,2.6758445045795437e-10,1.785343550522648e-10,7.185084049073522e-11,0.026383083690502216,0.0922220052577401,7.2477604878472786,8.539773419670057e-10,0.052939823275758906,0.6325189565495145,0.0
1.043833533064442e-07,6.470918718832244e-09,2.0025830906637626e-09,1.7157858373165413e-09,1.4738510795320193e-09,5.812222625791678e-10,3.1056818126665764e-10,1.640143974197994e-10,7.798031302771301e-11,0.027219680425194938,0.07231105525473923,7.340644845106073,1.0499548071476122e-09,0.0505858809200937,0.6377066150497009,0.0
6.873666412860121e-08,5.5378636872241575e-09,3.004313401884612e-09,1.126248499518805e-09,8.695448746990659e-10,4.757662066180668e-10,2.520151342883364e-10,1.6524473363964406e-10,7.075777650236217e-11,0.02487297905375799,0.10645861167574935,7.329523509195544,8.296005250363609e-10,0.05488153135158642,0.704955773990463,0.0
8.252569454201241e-08,6.643994430779808e-09,3.4514793299048187e-09,2.201800818311172e-09,1.4831223320727086e-09,6.15665274451445e-10,2.8280352672907604e-10,1.6286476755371022e-10,7.156227257845653e-11,0.037817360743805234,0.10360709233451931,7.200131630704057,8.33501516023844e-10,0.05676807997622117,0.6426379533760497,0.0
9.515072733777027e-08,8.689041218342188e-09,2.8676648656757495e-09,1.6048683197530132e-09,8.941179095389377e-10,6.791875113703159e-10,2.731974429253728e-10,1.4464589711637021e-10,6.761213804061934e-11,0.022641474386782254,0.1047068053956425,7.25237796222684,1.0253450403353399e-09,0.050177526098625476,0.6630304178240034,0.0
